Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal,Alt_90km,Lat_90km,Lon_90km
224.9,129.7,1147.0,66.288994,-147.263,377.7,89.9557855160984,66.78679501418553,-146.9041607297348
225.0,129.7,1146.3,66.289543,-147.262878,377.8,89.95275700804457,66.78749955750128,-146.90391786261387
225.1,129.8,1145.6,66.290085,-147.262772,377.9,89.94993670741881,66.78819702165248,-146.90369128731186
225.2,129.8,1144.9,66.290627,-147.262665,378.0,89.9471012209766,66.78889449142905,-146.9034636939663
225.3,129.9,1144.1,66.291176,-147.262558,378.1,89.94409715186111,66.7895990314305,-146.9032359270661
225.4,130.0,1143.4,66.291718,-147.262451,378.2,89.94123903716428,66.79029651022721,-146.9030083147503
225.5,130.0,1142.7,66.292267,-147.262344,378.3,89.93821221907719,66.79100105929493,-146.9027805287558
225.6,130.1,1142.0,66.292809,-147.262238,378.4,89.9353353833738,66.79169854598273,-146.90255390607277
225.7,130.1,1141.2,66.29335,-147.262131,378.5,89.93246585376214,66.79239502889756,-146.90232628880224
225.8,130.2,1140.5,66.2939,-147.262024,378.6,89.92938242953893,66.79310060095767,-146.90209845071132
225.9,130.3,1139.8,66.294441,-147.261917,378.7,89.92649027703574,66.7937970928892,-146.90187081447405
226.0,130.3,1139.1,66.294991,-147.261795,378.8,89.92332530836362,66.7945026910114,-146.90162782795466
226.1,130.4,1138.4,66.295532,-147.261688,378.9,89.92041050615626,66.79519919196876,-146.90140017270105
226.2,130.5,1137.6,66.296074,-147.261581,378.9,89.99377874400815,66.79559779004585,-146.90139084875122
226.3,130.5,1136.9,66.296623,-147.261475,379.0,89.99067658383503,66.79630236951247,-146.90116400508148
226.4,130.6,1136.2,66.297165,-147.261368,379.1,89.98771694503958,66.79699988872221,-146.90093630786583
226.5,130.6,1135.5,66.297714,-147.261261,379.2,89.98458809589951,66.79770447839365,-146.9007084364557
226.6,130.7,1134.8,66.298256,-147.261154,379.3,89.98160580275972,66.7984020066305,-146.90048072023905
226.7,130.8,1134.0,66.298798,-147.261047,379.4,89.97861221032777,66.79909953936998,-146.90025299455021
226.8,130.8,1133.3,66.299347,-147.260941,379.5,89.97545315348917,66.79980414150457,-146.9000261031188
226.9,130.9,1132.6,66.299889,-147.260834,379.6,89.97243690125073,66.80050168327247,-146.89979835842362
227.0,130.9,1131.9,66.30043,-147.260712,379.7,89.96937299427145,66.80119823715934,-146.89955549816375
227.1,131.0,1131.2,66.30098,-147.260605,379.8,89.96615324252546,66.80190386347815,-146.8993275458049
227.2,131.1,1130.4,66.301521,-147.260498,379.9,89.96312561542635,66.80260040934272,-146.89909979616465
227.3,131.1,1129.7,66.302063,-147.260391,380.0,89.96006407222103,66.80329796915416,-146.89887201345954
227.4,131.2,1129.0,66.302605,-147.260284,380.1,89.95699122165134,66.80399553347034,-146.89864422127252
